"","Source","SE","Eff_SE","Data_Wt","ISS","ESS"
"1","LL Survey Index",0.07,0.07,1,NA,NA
"2","JPN LL Survey Index",0.07,0.07,1,NA,NA
"3","Fixed Gear Fishery CPUE",0.2,0.2,1,NA,NA
"4","Fixed Gear Fish Ages",NA,NA,0.12,145.15,16.88
"5","LL Survey Ages",NA,NA,0.39,171.43,67.03
"6","JPN LL Survey Ages",NA,NA,0.15,83.33,12.28
"7","Fixed Gear Fish Lengths",NA,NA,1,63.67,63.45
"8","Trawl Fish Lengths",NA,NA,0.17,45.39,7.78
"9","LL Survey Lengths",NA,NA,0.52,133.33,69.44
"10","JPN LL Survey Lengths",NA,NA,0.38,54.62,20.87
