"","Source","SE","Eff_SE","Data_Wt","ISS","ESS"
"1","LL Survey Index",0.07,0.07,1,NA,NA
"2","JPN LL Survey Index",0.07,0.07,1,NA,NA
"3","Fixed Gear Fishery CPUE",0.2,0.2,1,NA,NA
"4","Fixed Gear Fish Ages",NA,NA,0.12,145.15,16.86
"5","LL Survey Ages",NA,NA,0.38,171.43,65.8
"6","JPN LL Survey Ages",NA,NA,0.14,83.33,11.33
"7","Fixed Gear Fish Lengths",NA,NA,0.81,63.67,51.55
"8","Trawl Fish Lengths",NA,NA,0.24,45.39,11.04
"9","LL Survey Lengths",NA,NA,0.53,133.33,70.26
"10","JPN LL Survey Lengths",NA,NA,0.4,54.62,21.95
