"","Source","SE","Eff_SE","Data_Wt","ISS","ESS"
"1","LL Survey Index",0.07,0.07,1,NA,NA
"2","JPN LL Survey Index",0.07,0.07,1,NA,NA
"3","Fixed Gear Fishery CPUE",NA,NA,NA,NA,NA
"4","Fixed Gear Fish Ages",NA,NA,0.12,145.15,17.17
"5","LL Survey Ages",NA,NA,0.36,171.43,62.12
"6","JPN LL Survey Ages",NA,NA,0.13,83.33,10.87
"7","Fixed Gear Fish Lengths",NA,NA,0.8,63.67,51.21
"8","Trawl Fish Lengths",NA,NA,0.24,45.39,10.9
"9","LL Survey Lengths",NA,NA,0.52,133.33,69.91
"10","JPN LL Survey Lengths",NA,NA,0.42,54.62,22.95
