"","Parameter","peel","Convergence","re_Model","Sex","Growth_model","Estimate","Std. Error","lwr_95","upr_95","Trans_Estimate"
"1","ln_Lmin",0,"Converged","3dar1","female","weight",3.58325081068351,0.0285001155594497,34.0350400689892,38.0579895454771,35.9903486941358
"2","ln_alpha",0,"Converged","3dar1","female","weight",-11.4647830551669,0.0731545840954881,9.09154188366308e-06,1.2110955880744e-05,1.04932007815051e-05
"3","ln_k",0,"Converged","3dar1","female","weight",-1.64303606709846,0.101136475492161,0.158616877637886,0.235791208536573,0.193391998987897
"4","rho_a",0,"Converged","3dar1","female","weight",0.485281437559377,0.062018331142636,0.36372550851981,0.606837366598943,0.485281437559377
"5","rho_y",0,"Converged","3dar1","female","weight",0.714917980884156,0.048388118764497,0.620077268105742,0.80975869366257,0.714917980884156
"6","rho_c",0,"Converged","3dar1","female","weight",-0.174102623298928,0.09532555377628,-0.360940708700437,0.0127354621025812,-0.174102623298928
"7","ln_eps_sigma2",0,"Converged","3dar1","female","weight",-6.62422731715536,0.136199056426821,0.00101671598562985,0.00173408190580306,0.00132780600767637
"8","ln_Lmin",0,"Converged","3dar1","Male","weight",3.4771763619186,0.0685237409533278,28.3002271084364,37.0209102234762,32.3681968463708
"9","ln_alpha",0,"Converged","3dar1","Male","weight",-11.6248482487123,0.0571985476764061,7.99289606899421e-06,1.00018638707159e-05,8.9411329491771e-06
"10","ln_k",0,"Converged","3dar1","Male","weight",-0.99411675670133,0.127265797366262,0.288356499303904,0.474888236665448,0.370050144555373
"11","rho_a",0,"Converged","3dar1","Male","weight",0.748689919096881,0.0532933121866768,0.644235027210994,0.853144810982767,0.748689919096881
"12","rho_y",0,"Converged","3dar1","Male","weight",0.850951876933549,0.0364486975711272,0.77951242969414,0.922391324172959,0.850951876933549
"13","rho_c",0,"Converged","3dar1","Male","weight",-0.590391894693177,0.0769361320278891,-0.74118671346784,-0.439597075918515,-0.590391894693177
"14","ln_eps_sigma2",0,"Converged","3dar1","Male","weight",-7.60802970561097,0.203802882268134,0.000332961611684275,0.000740210423308346,0.000496449046257767
