"","Source","SE","Eff_SE","Data_Wt","ISS","ESS"
"1","BS LL Survey Index",0.2,0.2,1,NA,NA
"2","AI LL Survey Index",0.24,0.24,1,NA,NA
"3","GOA LL Survey Index",0.08,0.08,1,NA,NA
"4","JPN LL Survey Index",0.07,0.07,1,NA,NA
"5","Fixed Gear Fish Ages",NA,NA,0.1,145.15,14.15
"6","BS LL Survey Ages",NA,NA,NA,NA,NA
"7","AI LL Survey Ages",NA,NA,NA,NA,NA
"8","GOA LL Survey Ages",NA,NA,0.3,171.43,51.99
"9","JPN LL Survey Ages",NA,NA,0.16,83.33,12.96
"10","Trawl Fish Lengths",NA,NA,0.23,45.39,10.24
"11","JPN LL Survey Lengths",NA,NA,0.36,54.62,19.72
