"","Comp_Type","Init_Weight","Final_Weight"
"1","BS_LLF_Age_F",1,0.32738389408743
"2","BS_LLF_Age_M",1,NA
"3","AI_LLF_Age_F",1,0.0384641383698822
"4","AI_LLF_Age_M",1,NA
"5","GOA_LLF_Age_F",1,0.108429721130408
"6","GOA_LLF_Age_M",1,NA
"7","BS_LLS_Age_F",1,0.557674225591586
"8","BS_LLS_Age_M",1,NA
"9","AI_LLS_Age_F",1,1.80575078996907
"10","AI_LLS_Age_M",1,NA
"11","GOA_LLS_Age_F",1,0.334941060312132
"12","GOA_LLS_Age_M",1,NA
"13","JPN_LLS_Age_F",1,0.174666187909886
"14","JPN_LLS_Age_M",1,NA
"15","TF_Len_F",1,0.148309741477483
"16","TF_Len_M",1,NA
"17","JPN_LLS_Len_F",1,0.340630200507588
"18","JPN_LLS_Len_M",1,NA
