"","Comp_Type","Init_Weight","Final_Weight"
"1","BS_LLF_Age_F",1,0.555499681805488
"2","BS_LLF_Age_M",1,NA
"3","AI_LLF_Age_F",1,0.0389570542686356
"4","AI_LLF_Age_M",1,NA
"5","GOA_LLF_Age_F",1,0.102529696443915
"6","GOA_LLF_Age_M",1,NA
"7","BS_LLS_Age_F",1,0.540196932700294
"8","BS_LLS_Age_M",1,NA
"9","AI_LLS_Age_F",1,1.73884756627298
"10","AI_LLS_Age_M",1,NA
"11","GOA_LLS_Age_F",1,0.319128783374178
"12","GOA_LLS_Age_M",1,NA
"13","JPN_LLS_Age_F",1,0.171027244077458
"14","JPN_LLS_Age_M",1,NA
"15","TF_Len_F",1,0.147155617756624
"16","TF_Len_M",1,NA
"17","JPN_LLS_Len_F",1,0.342609377473461
"18","JPN_LLS_Len_M",1,NA
