"","Comp_Type","Init_Weight","Final_Weight"
"1","BS_LLF_Age_F",1,0.565264240099269
"2","BS_LLF_Age_M",1,NA
"3","AI_LLF_Age_F",1,0.0386170565050425
"4","AI_LLF_Age_M",1,NA
"5","GOA_LLF_Age_F",1,0.101281361591482
"6","GOA_LLF_Age_M",1,NA
"7","BS_LLS_Age_F",1,0.739948591681404
"8","BS_LLS_Age_M",1,NA
"9","AI_LLS_Age_F",1,1.67817606911428
"10","AI_LLS_Age_M",1,NA
"11","GOA_LLS_Age_F",1,0.325623402185403
"12","GOA_LLS_Age_M",1,NA
"13","JPN_LLS_Age_F",1,0.17076072413926
"14","JPN_LLS_Age_M",1,NA
"15","TF_Len_F",1,0.146238578848461
"16","TF_Len_M",1,NA
"17","JPN_LLS_Len_F",1,0.343927136385272
"18","JPN_LLS_Len_M",1,NA
