"","Source","SE","Eff_SE","Data_Wt","ISS","ESS"
"1","BS LL Survey Index",0.2,0.2,1,NA,NA
"2","AI LL Survey Index",0.24,0.24,1,NA,NA
"3","GOA LL Survey Index",0.08,0.08,1,NA,NA
"4","JPN LL Survey Index",0.07,0.07,1,NA,NA
"5","BS Fixed Gear Fish Ages",NA,NA,0.33,26.92,8.96
"6","AI Fixed Gear Fish Ages",NA,NA,0.04,29.65,1.15
"7","GOA Fixed Gear Fish Ages",NA,NA,0.11,64.15,6.9
"8","BS LL Survey Ages",NA,NA,0.74,37.43,27.56
"9","AI LL Survey Ages",NA,NA,1.74,39.14,68.05
"10","GOA LL Survey Ages",NA,NA,0.34,77.14,25.95
"11","JPN LL Survey Ages",NA,NA,0.18,83.33,14.6
"12","Trawl Fish Lengths",NA,NA,0.15,45.39,6.66
"13","JPN LL Survey Lengths",NA,NA,0.34,54.62,18.79
