"","Comp_Type","Init_Weight","Final_Weight"
"1","BS_LLF_Age_F",1,0.333022578717142
"2","BS_LLF_Age_M",1,NA
"3","AI_LLF_Age_F",1,0.0386164683446171
"4","AI_LLF_Age_M",1,NA
"5","GOA_LLF_Age_F",1,0.10755992841887
"6","GOA_LLF_Age_M",1,NA
"7","BS_LLS_Age_F",1,0.736377186044006
"8","BS_LLS_Age_M",1,NA
"9","AI_LLS_Age_F",1,1.73852538758909
"10","AI_LLS_Age_M",1,NA
"11","GOA_LLS_Age_F",1,0.336379247151287
"12","GOA_LLS_Age_M",1,NA
"13","JPN_LLS_Age_F",1,0.175228838155253
"14","JPN_LLS_Age_M",1,NA
"15","TF_Len_F",1,0.146784607288245
"16","TF_Len_M",1,NA
"17","JPN_LLS_Len_F",1,0.344021365574647
"18","JPN_LLS_Len_M",1,NA
