"","Source","SE","Eff_SE","Data_Wt","ISS","ESS"
"1","BS LL Survey Index",0.2,0.2,1,NA,NA
"2","AI LL Survey Index",0.24,0.24,1,NA,NA
"3","GOA LL Survey Index",0.08,0.08,1,NA,NA
"4","JPN LL Survey Index",0.07,0.07,1,NA,NA
"5","Fixed Gear Fish Ages",NA,NA,0.04,145.15,5.87
"6","BS LL Survey Ages",NA,NA,0.44,37.43,16.43
"7","AI LL Survey Ages",NA,NA,0.97,39.14,37.95
"8","GOA LL Survey Ages",NA,NA,0.13,77.14,10.41
"9","JPN LL Survey Ages",NA,NA,0.17,83.33,14.56
"10","Trawl Fish Lengths",NA,NA,0.14,45.39,6.54
"11","JPN LL Survey Lengths",NA,NA,0.34,54.62,18.82
