"","Source","SE","Eff_SE","Data_Wt","ISS","ESS"
"1","BS LL Survey Index",0.2,0.2,1,NA,NA
"2","AI LL Survey Index",0.24,0.24,1,NA,NA
"3","GOA LL Survey Index",0.08,0.08,1,NA,NA
"4","JPN LL Survey Index",0.07,0.07,1,NA,NA
"5","Fixed Gear Fish Ages",NA,NA,1,145.15,145.15
"6","BS LL Survey Ages",NA,NA,1,37.43,37.43
"7","AI LL Survey Ages",NA,NA,1,39.14,39.14
"8","GOA LL Survey Ages",NA,NA,1,77.14,77.14
"9","JPN LL Survey Ages",NA,NA,1,83.33,83.33
"10","Trawl Fish Lengths",NA,NA,1,45.39,45.39
"11","JPN LL Survey Lengths",NA,NA,1,54.62,54.62
