Parameter,Estimate,Std. Error
ln_global_R0,2.97,0.13
ln_InitDevs,-0.01,0.40
ln_InitDevs,-0.03,0.39
ln_InitDevs,-0.05,0.39
ln_InitDevs,-0.05,0.39
ln_InitDevs,-0.05,0.39
ln_InitDevs,-0.05,0.39
ln_InitDevs,-0.05,0.39
ln_InitDevs,-0.05,0.39
ln_InitDevs,-0.04,0.39
ln_InitDevs,-0.04,0.39
ln_InitDevs,-0.04,0.39
ln_InitDevs,-0.04,0.39
ln_InitDevs,-0.04,0.39
ln_InitDevs,-0.03,0.39
ln_InitDevs,-0.03,0.39
ln_InitDevs,-0.03,0.39
ln_InitDevs,-0.03,0.39
ln_InitDevs,-0.02,0.40
ln_InitDevs,-0.02,0.40
ln_InitDevs,-0.02,0.40
ln_InitDevs,-0.02,0.40
ln_InitDevs,-0.02,0.40
ln_InitDevs,-0.02,0.40
ln_InitDevs,-0.01,0.40
ln_InitDevs,-0.01,0.40
ln_InitDevs,-0.01,0.40
ln_InitDevs,-0.01,0.40
ln_InitDevs,-0.01,0.40
ln_RecDevs,0.00,0.40
ln_RecDevs,0.01,0.40
ln_RecDevs,0.04,0.40
ln_RecDevs,0.08,0.41
ln_RecDevs,0.12,0.42
ln_RecDevs,0.14,0.42
ln_RecDevs,0.14,0.42
ln_RecDevs,0.12,0.42
ln_RecDevs,0.08,0.41
ln_RecDevs,0.03,0.40
ln_RecDevs,-0.03,0.39
ln_RecDevs,-0.08,0.38
ln_RecDevs,-0.13,0.37
ln_RecDevs,-0.18,0.36
ln_RecDevs,-0.23,0.35
ln_RecDevs,-0.72,0.66
ln_RecDevs,-0.74,0.64
ln_RecDevs,-0.72,0.64
ln_RecDevs,-0.53,0.65
ln_RecDevs,0.32,0.59
ln_RecDevs,1.48,0.27
ln_RecDevs,0.02,0.80
ln_RecDevs,0.50,0.75
ln_RecDevs,1.53,0.28
ln_RecDevs,-0.35,0.72
ln_RecDevs,-0.27,0.66
ln_RecDevs,0.30,0.46
ln_RecDevs,-0.65,0.61
ln_RecDevs,-0.88,0.60
ln_RecDevs,-0.27,0.49
ln_RecDevs,-0.38,0.58
ln_RecDevs,0.49,0.28
ln_RecDevs,-0.58,0.62
ln_RecDevs,0.33,0.34
ln_RecDevs,-0.24,0.50
ln_RecDevs,-0.44,0.50
ln_RecDevs,-0.09,0.40
ln_RecDevs,0.14,0.33
ln_RecDevs,-0.48,0.54
ln_RecDevs,0.63,0.25
ln_RecDevs,0.22,0.41
ln_RecDevs,0.03,0.51
ln_RecDevs,0.81,0.26
ln_RecDevs,0.05,0.45
ln_RecDevs,-0.39,0.51
ln_RecDevs,-0.30,0.42
ln_RecDevs,-0.62,0.49
ln_RecDevs,-0.42,0.42
ln_RecDevs,-0.34,0.45
ln_RecDevs,0.09,0.37
ln_RecDevs,0.06,0.37
ln_RecDevs,-0.42,0.48
ln_RecDevs,-0.42,0.40
ln_RecDevs,-0.97,0.51
ln_RecDevs,-0.65,0.48
ln_RecDevs,-0.09,0.41
ln_RecDevs,1.21,0.21
ln_RecDevs,0.26,0.55
ln_RecDevs,2.02,0.19
ln_RecDevs,1.72,0.30
ln_RecDevs,0.85,0.68
ln_RecDevs,0.92,0.65
ln_RecDevs,1.03,0.69
ln_RecDevs,0.71,0.87
ln_RecDevs,0.47,1.00
ln_M,-2.39,0.07
ln_M,-2.41,0.07
ln_F_mean,-3.03,0.13
ln_F_mean,-4.18,0.22
ln_F_devs,-2.13,0.13
ln_F_devs,-0.47,0.13
ln_F_devs,0.05,0.13
ln_F_devs,-0.83,0.13
ln_F_devs,-0.03,0.14
ln_F_devs,-1.98,0.13
ln_F_devs,-0.47,0.14
ln_F_devs,-3.27,0.13
ln_F_devs,0.20,0.14
ln_F_devs,-1.83,0.13
ln_F_devs,0.62,0.14
ln_F_devs,-1.80,0.13
ln_F_devs,0.89,0.13
ln_F_devs,-0.72,0.13
ln_F_devs,1.18,0.13
ln_F_devs,-0.36,0.12
ln_F_devs,1.31,0.13
ln_F_devs,0.07,0.12
ln_F_devs,1.02,0.13
ln_F_devs,0.14,0.12
ln_F_devs,1.39,0.13
ln_F_devs,0.45,0.12
ln_F_devs,1.65,0.12
ln_F_devs,0.33,0.12
ln_F_devs,1.16,0.12
ln_F_devs,0.49,0.12
ln_F_devs,0.83,0.12
ln_F_devs,0.47,0.12
ln_F_devs,0.58,0.12
ln_F_devs,0.62,0.12
ln_F_devs,0.60,0.12
ln_F_devs,0.40,0.12
ln_F_devs,-0.25,0.12
ln_F_devs,-0.27,0.12
ln_F_devs,-0.94,0.12
ln_F_devs,-0.10,0.12
ln_F_devs,-0.70,0.12
ln_F_devs,-0.27,0.11
ln_F_devs,-0.45,0.12
ln_F_devs,-0.01,0.12
ln_F_devs,-0.69,0.11
ln_F_devs,-0.22,0.12
ln_F_devs,-0.61,0.11
ln_F_devs,-0.35,0.11
ln_F_devs,-0.81,0.11
ln_F_devs,-0.38,0.11
ln_F_devs,-0.02,0.11
ln_F_devs,-0.26,0.11
ln_F_devs,-1.00,0.11
ln_F_devs,0.17,0.11
ln_F_devs,0.55,0.11
ln_F_devs,0.46,0.11
ln_F_devs,0.60,0.11
ln_F_devs,0.60,0.11
ln_F_devs,0.83,0.11
ln_F_devs,0.63,0.11
ln_F_devs,0.68,0.11
ln_F_devs,0.66,0.11
ln_F_devs,0.32,0.11
ln_F_devs,0.66,0.11
ln_F_devs,-0.03,0.11
ln_F_devs,0.64,0.11
ln_F_devs,-0.02,0.11
ln_F_devs,0.77,0.11
ln_F_devs,-0.11,0.11
ln_F_devs,0.71,0.11
ln_F_devs,0.11,0.11
ln_F_devs,0.63,0.11
ln_F_devs,0.05,0.11
ln_F_devs,0.49,0.11
ln_F_devs,-0.08,0.11
ln_F_devs,0.38,0.11
ln_F_devs,-0.35,0.11
ln_F_devs,0.37,0.11
ln_F_devs,-0.42,0.11
ln_F_devs,0.31,0.11
ln_F_devs,-0.14,0.11
ln_F_devs,0.48,0.11
ln_F_devs,-0.12,0.11
ln_F_devs,0.36,0.11
ln_F_devs,-0.25,0.11
ln_F_devs,0.34,0.11
ln_F_devs,-0.05,0.11
ln_F_devs,0.45,0.11
ln_F_devs,-0.16,0.11
ln_F_devs,0.49,0.11
ln_F_devs,-0.39,0.11
ln_F_devs,0.39,0.11
ln_F_devs,-0.46,0.11
ln_F_devs,0.36,0.11
ln_F_devs,-0.69,0.11
ln_F_devs,0.41,0.11
ln_F_devs,-0.69,0.11
ln_F_devs,0.36,0.11
ln_F_devs,-0.77,0.11
ln_F_devs,0.30,0.11
ln_F_devs,-0.81,0.11
ln_F_devs,0.24,0.11
ln_F_devs,-0.85,0.11
ln_F_devs,0.33,0.11
ln_F_devs,-0.68,0.11
ln_F_devs,0.39,0.11
ln_F_devs,-0.73,0.11
ln_F_devs,0.40,0.11
ln_F_devs,-0.76,0.11
ln_F_devs,0.25,0.11
ln_F_devs,-0.74,0.11
ln_F_devs,0.24,0.11
ln_F_devs,-0.66,0.11
ln_F_devs,0.13,0.11
ln_F_devs,-0.49,0.11
ln_F_devs,0.16,0.12
ln_F_devs,0.02,0.12
ln_F_devs,0.06,0.12
ln_F_devs,0.39,0.12
ln_F_devs,-0.06,0.13
ln_F_devs,0.54,0.13
ln_F_devs,-0.37,0.13
ln_F_devs,0.77,0.13
ln_F_devs,-0.22,0.12
ln_F_devs,0.19,0.13
ln_F_devs,-0.04,0.12
ln_F_devs,0.16,0.13
ln_F_devs,-0.20,0.12
ln_F_devs,0.11,0.13
ln_F_devs,-0.35,0.12
ln_F_devs,0.01,0.13
ln_F_devs,-0.30,0.12
ln_F_devs,-0.34,0.12
ln_fish_fixed_sel_pars,1.08,0.08
ln_fish_fixed_sel_pars,1.10,0.51
ln_fish_fixed_sel_pars,0.70,0.09
ln_fish_fixed_sel_pars,1.54,0.79
ln_fish_fixed_sel_pars,1.08,0.09
ln_fish_fixed_sel_pars,1.12,0.62
ln_fish_fixed_sel_pars,0.88,0.16
ln_fish_fixed_sel_pars,0.81,0.51
ln_fish_fixed_sel_pars,1.78,0.58
ln_fish_fixed_sel_pars,-1.67,0.69
ln_fish_fixed_sel_pars,1.41,0.29
ln_fish_fixed_sel_pars,-0.42,0.43
ln_srv_fixed_sel_pars,0.87,0.09
ln_srv_fixed_sel_pars,1.56,0.70
ln_srv_fixed_sel_pars,0.64,0.07
ln_srv_fixed_sel_pars,1.17,0.30
ln_srv_fixed_sel_pars,1.06,0.06
ln_srv_fixed_sel_pars,0.78,0.27
ln_srv_fixed_sel_pars,0.84,0.11
ln_srv_fixed_sel_pars,0.60,0.34
ln_srv_fixed_sel_pars,0.81,0.09
ln_srv_fixed_sel_pars,1.41,1.18
ln_srv_fixed_sel_pars,1.01,0.12
ln_srv_fixed_sel_pars,1.16,0.87
ln_srv_q,1.91,0.10
ln_srv_q,1.71,0.09
log(Total_Biom),6.446614451,0.092270102
log(Total_Biom),6.447152025,0.091011234
log(Total_Biom),6.428160694,0.091443485
log(Total_Biom),6.394952678,0.093096075
log(Total_Biom),6.381156016,0.092820313
log(Total_Biom),6.386507662,0.090602394
log(Total_Biom),6.390789509,0.088280072
log(Total_Biom),6.383570574,0.086742986
log(Total_Biom),6.36952626,0.085553599
log(Total_Biom),6.333318824,0.086000661
log(Total_Biom),6.284137214,0.087326702
log(Total_Biom),6.22967867,0.088908953
log(Total_Biom),6.159569231,0.091724477
log(Total_Biom),6.062328792,0.097068131
log(Total_Biom),5.996628328,0.09946371
log(Total_Biom),5.914035048,0.101295388
log(Total_Biom),5.834205606,0.101936049
log(Total_Biom),5.739576859,0.103275425
log(Total_Biom),5.676127429,0.103429514
log(Total_Biom),5.690920163,0.102815368
log(Total_Biom),5.850355017,0.096906617
log(Total_Biom),5.887058878,0.094992446
log(Total_Biom),5.935555769,0.097728757
log(Total_Biom),6.082218644,0.089869583
log(Total_Biom),6.110526366,0.087091129
log(Total_Biom),6.121262274,0.085174776
log(Total_Biom),6.137167877,0.080893144
log(Total_Biom),6.088635038,0.080862075
log(Total_Biom),6.008660048,0.082547949
log(Total_Biom),5.917889664,0.085037203
log(Total_Biom),5.823398253,0.08770812
log(Total_Biom),5.778011305,0.088643858
log(Total_Biom),5.704702752,0.090259241
log(Total_Biom),5.675233915,0.090723948
log(Total_Biom),5.61698868,0.092373925
log(Total_Biom),5.555366544,0.094354426
log(Total_Biom),5.515189019,0.095880428
log(Total_Biom),5.503355246,0.096526584
log(Total_Biom),5.476773457,0.0967935
log(Total_Biom),5.524460238,0.096356396
log(Total_Biom),5.548379989,0.096079521
log(Total_Biom),5.554523776,0.096500668
log(Total_Biom),5.629485565,0.095514356
log(Total_Biom),5.648974339,0.094767579
log(Total_Biom),5.639303381,0.09492932
log(Total_Biom),5.619966422,0.095615148
log(Total_Biom),5.586678045,0.096423298
log(Total_Biom),5.555692095,0.09723708
log(Total_Biom),5.521385256,0.098388898
log(Total_Biom),5.512858379,0.099280186
log(Total_Biom),5.513024297,0.099174801
log(Total_Biom),5.497338686,0.098751064
log(Total_Biom),5.474086832,0.099109093
log(Total_Biom),5.427129785,0.100430485
log(Total_Biom),5.382862068,0.102621296
log(Total_Biom),5.371650044,0.104314211
log(Total_Biom),5.518774665,0.107430583
log(Total_Biom),5.572826935,0.108460136
log(Total_Biom),5.899091893,0.114220801
log(Total_Biom),6.120036184,0.111676361
log(Total_Biom),6.223335817,0.11044154
log(Total_Biom),6.307302609,0.108789947
log(Total_Biom),6.379130977,0.112561703
log(Total_Biom),6.421851751,0.112095032
log(Total_Biom),6.455819253,0.110276842
log(Total_Biom),6.466075127,0.111710635
log(SSB),5.668018756,0.098600198
log(SSB),5.665852405,0.097774258
log(SSB),5.640262031,0.098834024
log(SSB),5.595360946,0.101526687
log(SSB),5.569859858,0.10252374
log(SSB),5.565248356,0.10147084
log(SSB),5.560996577,0.100175059
log(SSB),5.546460288,0.099528471
log(SSB),5.528039819,0.09902275
log(SSB),5.488303465,0.100178757
log(SSB),5.436913013,0.102341137
log(SSB),5.381079843,0.104788184
log(SSB),5.308845517,0.108923006
log(SSB),5.205253982,0.116419343
log(SSB),5.135449985,0.120547625
log(SSB),5.065291034,0.124282101
log(SSB),5.003244501,0.126741063
log(SSB),4.927492686,0.130226697
log(SSB),4.879145635,0.130022904
log(SSB),4.865910296,0.125012031
log(SSB),4.843769801,0.119955562
log(SSB),4.826556541,0.113870721
log(SSB),4.812789722,0.107910205
log(SSB),4.834935912,0.101178969
log(SSB),4.892636391,0.095382296
log(SSB),4.970414398,0.091676809
log(SSB),5.057950676,0.088571881
log(SSB),5.103132161,0.088656782
log(SSB),5.112725327,0.090566707
log(SSB),5.084397353,0.094118262
log(SSB),5.031396186,0.09799775
log(SSB),4.961937614,0.101630903
log(SSB),4.882273308,0.104731521
log(SSB),4.799336389,0.107210672
log(SSB),4.707281473,0.109806039
log(SSB),4.627762344,0.111601533
log(SSB),4.569310281,0.112106045
log(SSB),4.534343217,0.111419337
log(SSB),4.514998245,0.110092174
log(SSB),4.500935822,0.108929252
log(SSB),4.490191383,0.10797013
log(SSB),4.472901926,0.108282859
log(SSB),4.476345211,0.107490677
log(SSB),4.490669998,0.106682452
log(SSB),4.509709799,0.10645732
log(SSB),4.534486703,0.106339533
log(SSB),4.566334263,0.105847561
log(SSB),4.595169135,0.105444087
log(SSB),4.606157221,0.105963036
log(SSB),4.603395553,0.106637229
log(SSB),4.589324168,0.107193039
log(SSB),4.569017628,0.10747225
log(SSB),4.540306727,0.108264765
log(SSB),4.510520408,0.1093534
log(SSB),4.485494439,0.110498655
log(SSB),4.472060535,0.110904881
log(SSB),4.460426134,0.111544073
log(SSB),4.45170136,0.111997213
log(SSB),4.454282177,0.113154508
log(SSB),4.488244039,0.11409659
log(SSB),4.57325188,0.114647334
log(SSB),4.717869537,0.114436269
log(SSB),4.901325338,0.113999592
log(SSB),5.08276327,0.114396817
log(SSB),5.247478214,0.11414788
log(SSB),5.37736932,0.113360764
log(Dynamic_SSB0),5.739555008,0.095303854
log(Dynamic_SSB0),5.738290235,0.094186933
log(Dynamic_SSB0),5.737439029,0.092936252
log(Dynamic_SSB0),5.737207968,0.091543634
log(Dynamic_SSB0),5.737797515,0.090002947
log(Dynamic_SSB0),5.739377599,0.088298717
log(Dynamic_SSB0),5.74211538,0.086392966
log(Dynamic_SSB0),5.746188643,0.084238728
log(Dynamic_SSB0),5.751703324,0.081816603
log(Dynamic_SSB0),5.758535519,0.079162135
log(Dynamic_SSB0),5.76620983,0.076360032
log(Dynamic_SSB0),5.773922669,0.073512014
log(Dynamic_SSB0),5.780699155,0.070705508
log(Dynamic_SSB0),5.785600871,0.06799881
log(Dynamic_SSB0),5.787901228,0.065422409
log(Dynamic_SSB0),5.786931832,0.062991426
log(Dynamic_SSB0),5.782403392,0.060714216
log(Dynamic_SSB0),5.773931461,0.05859765
log(Dynamic_SSB0),5.760960722,0.056653104
log(Dynamic_SSB0),5.743099518,0.05485709
log(Dynamic_SSB0),5.721728215,0.053160909
log(Dynamic_SSB0),5.69740265,0.051621944
log(Dynamic_SSB0),5.676031726,0.050144989
log(Dynamic_SSB0),5.66624167,0.048676716
log(Dynamic_SSB0),5.672694285,0.047399089
log(Dynamic_SSB0),5.696447444,0.046472232
log(Dynamic_SSB0),5.730731181,0.04589288
log(Dynamic_SSB0),5.766778289,0.045436714
log(Dynamic_SSB0),5.798368713,0.044966626
log(Dynamic_SSB0),5.819601974,0.044611045
log(Dynamic_SSB0),5.826349003,0.0444743
log(Dynamic_SSB0),5.81942581,0.044548022
log(Dynamic_SSB0),5.801376391,0.044917619
log(Dynamic_SSB0),5.776337184,0.045545613
log(Dynamic_SSB0),5.748118657,0.046311187
log(Dynamic_SSB0),5.720512653,0.047089067
log(Dynamic_SSB0),5.695650886,0.047837419
log(Dynamic_SSB0),5.67341575,0.048597942
log(Dynamic_SSB0),5.652208616,0.049433914
log(Dynamic_SSB0),5.631502989,0.050302943
log(Dynamic_SSB0),5.610749936,0.051170814
log(Dynamic_SSB0),5.591285198,0.051902728
log(Dynamic_SSB0),5.575823763,0.052311561
log(Dynamic_SSB0),5.565583674,0.052371822
log(Dynamic_SSB0),5.561593374,0.052075709
log(Dynamic_SSB0),5.563204044,0.051546593
log(Dynamic_SSB0),5.56804391,0.050979078
log(Dynamic_SSB0),5.573093716,0.05056
log(Dynamic_SSB0),5.574331357,0.050484541
log(Dynamic_SSB0),5.568472612,0.050838852
log(Dynamic_SSB0),5.554797311,0.051559264
log(Dynamic_SSB0),5.535297172,0.052495302
log(Dynamic_SSB0),5.513247967,0.053453909
log(Dynamic_SSB0),5.491422481,0.054296664
log(Dynamic_SSB0),5.471472441,0.054994387
log(Dynamic_SSB0),5.452781856,0.055636261
log(Dynamic_SSB0),5.43478852,0.056243946
log(Dynamic_SSB0),5.415658285,0.056933119
log(Dynamic_SSB0),5.403042596,0.057168424
log(Dynamic_SSB0),5.404117999,0.056711933
log(Dynamic_SSB0),5.430027225,0.055556341
log(Dynamic_SSB0),5.490458416,0.054355369
log(Dynamic_SSB0),5.584584876,0.054325334
log(Dynamic_SSB0),5.699527557,0.055665922
log(Dynamic_SSB0),5.814881127,0.057547513
log(Dynamic_SSB0),5.912607798,0.059081399
log(Rec),2.968311082,0.4124394
log(Rec),2.979092336,0.413401674
log(Rec),3.004420077,0.417192118
log(Rec),3.046744983,0.424504118
log(Rec),3.086773387,0.431514691
log(Rec),3.10817491,0.434825192
log(Rec),3.108245891,0.433441391
log(Rec),3.085009382,0.427171822
log(Rec),3.03975575,0.417956028
log(Rec),2.984820056,0.407410151
log(Rec),2.926849596,0.396867713
log(Rec),2.869707107,0.387045473
log(Rec),2.813667189,0.377838973
log(Rec),2.758295066,0.368974425
log(Rec),2.709565713,0.360764517
log(Rec),2.066638597,0.65538043
log(Rec),2.021083144,0.640244429
log(Rec),2.018273605,0.635924322
log(Rec),2.184585626,0.649469396
log(Rec),3.01169766,0.59318294
log(Rec),4.150437178,0.275412038
log(Rec),2.666792746,0.8056418
log(Rec),3.131745277,0.7606525
log(Rec),4.130516129,0.287240234
log(Rec),2.254999963,0.731261483
log(Rec),2.329587901,0.663666765
log(Rec),2.901308482,0.45885055
log(Rec),1.949779106,0.616231337
log(Rec),1.728288769,0.605870235
log(Rec),2.33921839,0.492030902
log(Rec),2.222746859,0.585233381
log(Rec),3.093224668,0.27953139
log(Rec),2.028844078,0.628284182
log(Rec),2.93408956,0.340290892
log(Rec),2.364368766,0.506665701
log(Rec),2.165637562,0.5084228
log(Rec),2.510014548,0.407614693
log(Rec),2.741238122,0.338389902
log(Rec),2.129154172,0.542671725
log(Rec),3.238589047,0.256228955
log(Rec),2.822252998,0.4179398
log(Rec),2.637428033,0.513260937
log(Rec),3.412455132,0.26685742
log(Rec),2.652524993,0.45393947
log(Rec),2.217096097,0.518400324
log(Rec),2.301321965,0.42196815
log(Rec),1.984699247,0.492388879
log(Rec),2.187003681,0.429900369
log(Rec),2.266254696,0.459398512
log(Rec),2.693721517,0.372507708
log(Rec),2.666065577,0.372431157
log(Rec),2.184270361,0.486582017
log(Rec),2.187400162,0.40264632
log(Rec),1.636826028,0.512340868
log(Rec),1.95288888,0.483320054
log(Rec),2.511466449,0.416499138
log(Rec),3.813466534,0.216967505
log(Rec),2.859635259,0.558110585
log(Rec),4.626475964,0.202685687
log(Rec),4.322452403,0.311661104
log(Rec),3.456185383,0.686375837
log(Rec),3.525268322,0.652701921
log(Rec),3.636097356,0.697665176
log(Rec),3.492481876,0.87098137
log(Rec),3.439910562,1.00306826
log(Rec),2.968812497,0.132319078
log(Aggregated_SSB),5.668018756,0.098600198
log(Aggregated_SSB),5.665852405,0.097774258
log(Aggregated_SSB),5.640262031,0.098834024
log(Aggregated_SSB),5.595360946,0.101526687
log(Aggregated_SSB),5.569859858,0.10252374
log(Aggregated_SSB),5.565248356,0.10147084
log(Aggregated_SSB),5.560996577,0.100175059
log(Aggregated_SSB),5.546460288,0.099528471
log(Aggregated_SSB),5.528039819,0.09902275
log(Aggregated_SSB),5.488303465,0.100178757
log(Aggregated_SSB),5.436913013,0.102341137
log(Aggregated_SSB),5.381079843,0.104788184
log(Aggregated_SSB),5.308845517,0.108923006
log(Aggregated_SSB),5.205253982,0.116419343
log(Aggregated_SSB),5.135449985,0.120547625
log(Aggregated_SSB),5.065291034,0.124282101
log(Aggregated_SSB),5.003244501,0.126741063
log(Aggregated_SSB),4.927492686,0.130226697
log(Aggregated_SSB),4.879145635,0.130022904
log(Aggregated_SSB),4.865910296,0.125012031
log(Aggregated_SSB),4.843769801,0.119955562
log(Aggregated_SSB),4.826556541,0.113870721
log(Aggregated_SSB),4.812789722,0.107910205
log(Aggregated_SSB),4.834935912,0.101178969
log(Aggregated_SSB),4.892636391,0.095382296
log(Aggregated_SSB),4.970414398,0.091676809
log(Aggregated_SSB),5.057950676,0.088571881
log(Aggregated_SSB),5.103132161,0.088656782
log(Aggregated_SSB),5.112725327,0.090566707
log(Aggregated_SSB),5.084397353,0.094118262
log(Aggregated_SSB),5.031396186,0.09799775
log(Aggregated_SSB),4.961937614,0.101630903
log(Aggregated_SSB),4.882273308,0.104731521
log(Aggregated_SSB),4.799336389,0.107210672
log(Aggregated_SSB),4.707281473,0.109806039
log(Aggregated_SSB),4.627762344,0.111601533
log(Aggregated_SSB),4.569310281,0.112106045
log(Aggregated_SSB),4.534343217,0.111419337
log(Aggregated_SSB),4.514998245,0.110092174
log(Aggregated_SSB),4.500935822,0.108929252
log(Aggregated_SSB),4.490191383,0.10797013
log(Aggregated_SSB),4.472901926,0.108282859
log(Aggregated_SSB),4.476345211,0.107490677
log(Aggregated_SSB),4.490669998,0.106682452
log(Aggregated_SSB),4.509709799,0.10645732
log(Aggregated_SSB),4.534486703,0.106339533
log(Aggregated_SSB),4.566334263,0.105847561
log(Aggregated_SSB),4.595169135,0.105444087
log(Aggregated_SSB),4.606157221,0.105963036
log(Aggregated_SSB),4.603395553,0.106637229
log(Aggregated_SSB),4.589324168,0.107193039
log(Aggregated_SSB),4.569017628,0.10747225
log(Aggregated_SSB),4.540306727,0.108264765
log(Aggregated_SSB),4.510520408,0.1093534
log(Aggregated_SSB),4.485494439,0.110498655
log(Aggregated_SSB),4.472060535,0.110904881
log(Aggregated_SSB),4.460426134,0.111544073
log(Aggregated_SSB),4.45170136,0.111997213
log(Aggregated_SSB),4.454282177,0.113154508
log(Aggregated_SSB),4.488244039,0.11409659
log(Aggregated_SSB),4.57325188,0.114647334
log(Aggregated_SSB),4.717869537,0.114436269
log(Aggregated_SSB),4.901325338,0.113999592
log(Aggregated_SSB),5.08276327,0.114396817
log(Aggregated_SSB),5.247478214,0.11414788
log(Aggregated_SSB),5.37736932,0.113360764
log(Dynamic_Aggregated_SSB0),5.739555008,0.095303854
