,year,mcmc_med_ssb,lwr_95_ssb,upr_95_ssb,mle_ssb,mcmc_med_rec,lwr_95_rec,upr_95_rec,mle_rec
1,1,239,195,291,252,14,6,30,16
2,2,239,195,291,252,14,6,31,16
3,3,232,189,283,245,15,6,33,17
4,4,220,178,270,232,15,7,35,18
5,5,214,172,262,225,16,7,38,19
6,6,213,171,260,224,17,7,40,19
7,7,211,171,258,223,17,7,41,19
8,8,207,167,252,218,17,7,40,19
9,9,202,164,246,213,16,7,37,18
10,10,192,156,234,203,15,7,34,17
11,11,181,146,219,190,14,6,31,16
12,12,169,136,205,177,13,6,28,15
13,13,155,124,189,162,12,6,25,14
14,14,136,108,168,142,12,5,23,13
15,15,125,99,155,131,11,5,21,12
16,16,114,90,142,120,4,1,13,6
17,17,106,84,132,111,4,1,13,6
18,18,96,75,120,101,4,1,13,6
19,19,90,70,113,95,6,1,17,7
20,20,89,70,110,94,15,3,48,16
21,21,86,69,107,91,47,9,76,60
22,22,84,69,103,90,10,2,42,11
23,23,83,69,100,88,20,3,62,16
24,24,85,72,101,92,38,4,67,49
25,25,92,79,107,99,9,2,30,9
26,26,101,88,117,109,9,2,26,9
27,27,112,98,129,121,11,2,25,14
28,28,117,102,135,126,6,1,15,6
29,29,117,102,134,125,6,1,15,6
30,30,111,96,128,118,8,2,19,10
31,31,102,88,120,108,10,2,22,11
32,32,93,79,109,98,15,4,26,15
33,33,84,71,99,88,11,2,24,12
34,34,76,64,90,79,11,4,20,12
35,35,68,58,81,71,4,1,9,4
36,36,62,53,74,64,7,2,13,8
37,37,58,49,69,60,11,6,17,12
38,38,56,47,66,57,8,2,15,8
39,39,54,46,64,55,17,9,25,18
40,40,52,44,62,53,9,3,18,10
41,41,51,43,60,52,8,2,15,8
42,42,49,42,58,50,11,4,20,13
43,43,49,42,58,50,26,17,37,27
44,44,49,42,58,50,11,4,20,12
45,45,49,42,58,50,5,1,11,5
46,46,50,43,59,51,6,2,11,7
47,47,51,44,61,52,3,1,7,3
48,48,53,46,62,54,8,3,14,10
49,49,53,46,63,54,8,2,15,7
50,50,52,44,62,53,15,6,24,16
51,51,50,43,60,51,14,6,22,14
52,52,49,41,58,49,7,2,14,7
53,53,47,40,56,47,6,2,11,6
54,54,46,39,55,47,5,2,11,6
55,55,46,39,55,46,5,1,12,6
56,56,47,39,56,47,9,3,18,9
57,57,47,40,57,48,59,41,83,62
58,58,49,41,58,49,28,11,51,29
59,59,51,42,62,51,65,37,99,68
60,60,57,47,70,57,107,72,148,112
61,61,69,56,85,69,10,2,33,11
62,62,88,71,108,88,9,2,26,11
63,63,113,91,141,115,13,2,38,16
64,64,141,113,176,144,8,1,29,10
65,65,168,133,211,172,8,2,33,11
66,66,189,149,238,194,14,12,18,17
