Parameter,Estimate,Std. Error
ln_global_R0,2.76,0.11
ln_InitDevs,0.00,0.40
ln_InitDevs,-0.03,0.39
ln_InitDevs,-0.05,0.39
ln_InitDevs,-0.06,0.39
ln_InitDevs,-0.06,0.39
ln_InitDevs,-0.06,0.39
ln_InitDevs,-0.06,0.39
ln_InitDevs,-0.06,0.39
ln_InitDevs,-0.06,0.39
ln_InitDevs,-0.06,0.39
ln_InitDevs,-0.05,0.39
ln_InitDevs,-0.05,0.39
ln_InitDevs,-0.05,0.39
ln_InitDevs,-0.04,0.39
ln_InitDevs,-0.04,0.39
ln_InitDevs,-0.04,0.39
ln_InitDevs,-0.04,0.39
ln_InitDevs,-0.03,0.39
ln_InitDevs,-0.03,0.39
ln_InitDevs,-0.03,0.39
ln_InitDevs,-0.03,0.39
ln_InitDevs,-0.02,0.40
ln_InitDevs,-0.02,0.40
ln_InitDevs,-0.02,0.40
ln_InitDevs,-0.02,0.40
ln_InitDevs,-0.02,0.40
ln_InitDevs,-0.01,0.40
ln_InitDevs,-0.01,0.40
ln_RecDevs,0.02,0.40
ln_RecDevs,0.04,0.41
ln_RecDevs,0.08,0.41
ln_RecDevs,0.14,0.43
ln_RecDevs,0.20,0.44
ln_RecDevs,0.23,0.45
ln_RecDevs,0.24,0.45
ln_RecDevs,0.21,0.44
ln_RecDevs,0.17,0.43
ln_RecDevs,0.11,0.42
ln_RecDevs,0.04,0.40
ln_RecDevs,-0.03,0.39
ln_RecDevs,-0.10,0.37
ln_RecDevs,-0.17,0.36
ln_RecDevs,-0.23,0.35
ln_RecDevs,-0.75,0.65
ln_RecDevs,-0.79,0.64
ln_RecDevs,-0.75,0.64
ln_RecDevs,-0.52,0.66
ln_RecDevs,0.32,0.66
ln_RecDevs,1.61,0.28
ln_RecDevs,-0.06,0.80
ln_RecDevs,0.39,0.83
ln_RecDevs,1.49,0.31
ln_RecDevs,-0.25,0.75
ln_RecDevs,-0.21,0.68
ln_RecDevs,0.21,0.52
ln_RecDevs,-0.56,0.63
ln_RecDevs,-0.56,0.62
ln_RecDevs,-0.13,0.56
ln_RecDevs,0.02,0.59
ln_RecDevs,0.31,0.46
ln_RecDevs,0.11,0.52
ln_RecDevs,0.05,0.39
ln_RecDevs,-1.06,0.54
ln_RecDevs,-0.37,0.39
ln_RecDevs,0.06,0.27
ln_RecDevs,-0.28,0.44
ln_RecDevs,0.50,0.24
ln_RecDevs,-0.13,0.44
ln_RecDevs,-0.31,0.43
ln_RecDevs,0.15,0.37
ln_RecDevs,0.89,0.20
ln_RecDevs,0.10,0.37
ln_RecDevs,-0.72,0.50
ln_RecDevs,-0.47,0.35
ln_RecDevs,-1.35,0.52
ln_RecDevs,-0.14,0.32
ln_RecDevs,-0.42,0.45
ln_RecDevs,0.38,0.29
ln_RecDevs,0.24,0.30
ln_RecDevs,-0.40,0.45
ln_RecDevs,-0.55,0.42
ln_RecDevs,-0.58,0.47
ln_RecDevs,-0.67,0.51
ln_RecDevs,-0.24,0.42
ln_RecDevs,1.73,0.17
ln_RecDevs,0.98,0.34
ln_RecDevs,1.82,0.23
ln_RecDevs,2.32,0.17
ln_RecDevs,0.03,0.75
ln_RecDevs,0.00,0.64
ln_RecDevs,0.35,0.70
ln_RecDevs,-0.18,0.78
ln_RecDevs,-0.12,0.81
ln_M,-2.43,0.07
ln_M,-2.44,0.08
ln_F_mean,-2.65,0.11
ln_F_mean,-3.88,0.15
ln_F_devs,-2.31,0.13
ln_F_devs,-0.66,0.13
ln_F_devs,-0.13,0.13
ln_F_devs,-1.00,0.13
ln_F_devs,-0.21,0.15
ln_F_devs,-2.15,0.13
ln_F_devs,-0.64,0.14
ln_F_devs,-3.45,0.13
ln_F_devs,0.02,0.14
ln_F_devs,-2.01,0.13
ln_F_devs,0.44,0.14
ln_F_devs,-1.98,0.13
ln_F_devs,0.71,0.14
ln_F_devs,-0.91,0.13
ln_F_devs,1.00,0.13
ln_F_devs,-0.54,0.13
ln_F_devs,1.12,0.13
ln_F_devs,-0.10,0.12
ln_F_devs,0.84,0.13
ln_F_devs,-0.02,0.12
ln_F_devs,1.22,0.13
ln_F_devs,0.30,0.12
ln_F_devs,1.50,0.13
ln_F_devs,0.20,0.12
ln_F_devs,1.03,0.13
ln_F_devs,0.38,0.12
ln_F_devs,0.71,0.13
ln_F_devs,0.37,0.12
ln_F_devs,0.47,0.13
ln_F_devs,0.54,0.12
ln_F_devs,0.51,0.13
ln_F_devs,0.34,0.12
ln_F_devs,-0.32,0.13
ln_F_devs,-0.31,0.12
ln_F_devs,-1.01,0.13
ln_F_devs,-0.14,0.12
ln_F_devs,-0.76,0.12
ln_F_devs,-0.30,0.12
ln_F_devs,-0.47,0.12
ln_F_devs,-0.06,0.13
ln_F_devs,-0.70,0.12
ln_F_devs,-0.32,0.12
ln_F_devs,-0.64,0.12
ln_F_devs,-0.45,0.12
ln_F_devs,-0.86,0.12
ln_F_devs,-0.50,0.12
ln_F_devs,-0.10,0.12
ln_F_devs,-0.38,0.12
ln_F_devs,-1.11,0.12
ln_F_devs,0.07,0.12
ln_F_devs,0.41,0.12
ln_F_devs,0.36,0.11
ln_F_devs,0.46,0.12
ln_F_devs,0.52,0.11
ln_F_devs,0.70,0.11
ln_F_devs,0.59,0.11
ln_F_devs,0.58,0.12
ln_F_devs,0.64,0.11
ln_F_devs,0.25,0.12
ln_F_devs,0.66,0.11
ln_F_devs,-0.05,0.12
ln_F_devs,0.64,0.11
ln_F_devs,-0.02,0.12
ln_F_devs,0.79,0.11
ln_F_devs,-0.07,0.12
ln_F_devs,0.74,0.11
ln_F_devs,0.17,0.11
ln_F_devs,0.68,0.11
ln_F_devs,0.13,0.11
ln_F_devs,0.60,0.11
ln_F_devs,0.02,0.11
ln_F_devs,0.52,0.11
ln_F_devs,-0.22,0.11
ln_F_devs,0.52,0.11
ln_F_devs,-0.28,0.11
ln_F_devs,0.47,0.11
ln_F_devs,0.03,0.11
ln_F_devs,0.60,0.11
ln_F_devs,0.06,0.11
